"","F1"
"1",3.61943110239591
"2",3.21414948622312
"3",2.88115229840383
"4",2.36343392032884
"5",1.96936001012864
"6",2.36343392032884
"7",1.80214025701458
"8",1.80214025701458
"9",4.63948774540728
"10",2.88115229840384
"11",3.21414948622312
"12",2.60225382883648
"13",-2.4337104458889
"14",-2.1453816055709
"15",-2.33425338144652
"16",-1.88220828598412
"17",-2.1453816055709
"18",-1.88220828598412
"19",-2.33425338144652
"20",-1.88220828598412
"21",-1.96762249848071
"22",-1.88220828598412
"23",-2.05526196516232
"24",-1.71716885441112
"25",-1.03707267941122
"26",-0.89366742066052
"27",-1.25572982666374
"28",-0.68008523000501
"29",-1.18223015799545
"30",-0.751207255692348
"31",-1.10938050142162
"32",-1.03707267941122
"33",-0.248533367895767
"34",-0.248533367895768
"35",-0.0247092017054973
"36",-0.024709201705497
"37",0.290195581679062
"38",0.209204119315632
"39",0.457954655293625
"40",-0.100239294642796
"41",-0.0247092017054969
"42",-0.248533367895767
"43",-0.537563972403893
"44",-0.321558825660185
"45",0.728096081304701
"46",0.209204119315631
"47",0.824449264805014
"48",0.635157912288889
"49",-0.608904027290643
"50",-0.174802312922693
"51",-0.89366742066052
"52",-0.68008523000501
"53",1.96936001012864
"54",1.13922939117722
"55",1.80214025701458
"56",1.6494976335913
"57",2.60225382883649
"58",2.36343392032883
"59",2.36343392032884
"60",2.36343392032884
"61",0.824449264805013
"62",0.209204119315632
"63",0.824449264805014
"64",0.635157912288889
"65",1.80214025701458
"66",1.37776115485306
"67",1.13922939117722
"68",1.13922939117721
"69",-2.05526196516232
"70",-1.48128706739429
"71",-1.48128706739429
"72",-1.40513626837127
"73",-1.40513626837128
"74",-1.03707267941122
"75",-1.10938050142162
"76",-0.68008523000501
"77",-1.55857846902936
"78",-0.822368610342015
"79",-1.71716885441112
"80",-1.03707267941122
"81",-0.965202210412846
"82",-0.822368610342014
"83",-1.18223015799545
"84",-0.751207255692349
"85",-1.40513626837128
"86",-0.965202210412845
"87",-1.63715401261823
"88",-0.893667420660521
