a1,d,g,u
1,2.90257177671704,0,1
1,3.85202803813887,0,1
1,0.927119758029167,0,1
1,0.88181473809512,0,1
1,-0.782024237731836,0,1
1,-1.18837630218685,0,1
1,-0.496645686336351,0,1
1,0.13232786774901,0,1
1,0.72504135370981,0,1
1,-0.110609275543935,0,1
1,0.0223335620234359,0,1
1,-0.880426498381222,0,1
1,-1.16187712648856,0,1
1,-0.222481708063555,0,1
1,-0.0218469403529762,0,1
1,-0.358419682814094,0,1
1,1.40010369388382,0,1
1,1.06477942942655,0,1
1,1.37531091415475,0,1
1,-2.73410854350002,0,1
1,0.614375346137155,0,1
1,0.285614927314026,0,1
1,-0.59031409400147,0,1
1,0.927119758029167,0,1
1,0.176184700063156,0,1
1,-0.312876514289943,0,1
1,0.972697616893105,0,1
1,0.54834642003563,0,1
1,0.307480876447956,0,1
1,0.904434750175015,0,1
1,0.285614927314027,0,1
1,0.241869051445109,0,1
1,-0.0439843457878566,0,1
1,-0.757706400731152,0,1
1,0.0664016418821664,0,1
1,2.06036776190413,0,1
1,1.22951590787557,0,1
1,1.85142430005604,0,1
1,0.81431385912016,0,1
1,2.51034998387736,0,1
1,1.22951590787557,0,1
1,2.71672894852334,0,1
1,0.791923361186724,0,1
1,3.43184353012093,0,1
1,2.51034998387736,0,1
1,3.66682288129723,0,1
1,1.99882918505605,0,1
1,1.85142430005604,0,1
1,3.50551129142245,0,1
1,1.96864498144523,0,1
1,2.06036776190413,0,1
1,0.859256604153029,0,1
1,0.0883985095254827,0,1
1,0.373075581418708,0,1
1,3.43184353012093,0,1
1,-0.519940491572517,0,1
1,1.57839031953053,0,1
1,1.01857485369415,0,1
1,0.110373253324779,0,1
1,0.927119758029167,0,1
1,3.50551129142245,0,1
1,4.19760501182097,0,1
1,2.71672894852334,0,1
1,3.36207295054461,0,1
1,0.85925660415303,0,1
1,1.40010369388382,0,1
1,0.416823756071573,0,1
1,-0.806452029584714,0,1
1,-0.222481708063555,0,1
1,-1.49234645612388,0,1
1,-0.661475049340857,0,1
1,-1.21504668491336,0,1
1,0.373075581418708,0,1
1,-4.75276697839216,0,1
1,-0.0218469403529763,0,1
1,0.702834734000527,0,1
1,1.11134087922819,0,1
1,-0.685382680424219,0,1
1,0.836757303223907,0,1
