a1,d,g,u
1,3.52000846971725,0,1
1,3.88737906432668,0,1
1,0.234228964951714,0,1
1,-1.02101205908258,0,1
1,-0.615795837503156,0,1
1,-1.76480408646502,0,1
1,-0.221767113564034,0,1
1,-0.591729741624901,0,1
1,0.191692135916234,0,1
1,0.0632024532631491,0,1
1,0.0632024532631497,0,1
1,-0.738143246263319,0,1
1,-0.7133931271596,0,1
1,-0.110872595727378,0,1
1,-0.403486050978141,0,1
1,-0.334655962732396,0,1
1,0.719869061108125,0,1
1,2.00897659965854,0,1
1,-0.889878809697425,0,1
1,-3.48997521369302,0,1
1,0.0847226221405872,0,1
1,-0.496697786939839,0,1
1,-0.0016530250745799,0,1
1,-0.380444793436791,0,1
1,-0.19943911363939,0,1
1,-0.266664892334021,0,1
1,0.234228964951715,0,1
1,-0.449876660700759,0,1
1,-0.0016530250745795,0,1
1,-0.838657929868852,0,1
1,0.127629658724009,0,1
1,0.212976147025665,0,1
1,-0.0451596902601953,0,1
1,-0.994415341872316,0,1
1,-0.0233777872782611,0,1
1,1.9506482455816,0,1
1,1.19861409520481,0,1
1,1.43057872398366,0,1
1,0.593027091869332,0,1
1,1.26688200169571,0,1
1,1.86584904702299,0,1
1,4.26702050199901,0,1
1,1.08686576375926,0,1
1,2.85340009045173,0,1
1,1.55214455411117,0,1
1,4.61870985867159,0,1
1,5.55765272050575,0,1
1,2.09951285667602,0,1
1,5.55765272050575,0,1
1,1.28986883162804,0,1
1,4.42878882092551,0,1
1,-0.473231906906438,0,1
1,1.83823945794308,0,1
1,2.47262843601019,0,1
1,4.6187098586716,0,1
1,0.0632024532631489,0,1
1,-0.763040966247275,0,1
1,1.13128664263261,0,1
1,-0.0016530250745799,0,1
1,-0.380444793436791,0,1
1,2.85340009045173,0,1
1,6.25818379727773,0,1
1,2.95277609137109,0,1
1,2.13058356479839,0,1
1,1.15363209010019,0,1
1,0.149021223075198,0,1
1,-0.78809006467501,0,1
1,-2.44837186486919,0,1
1,0.719869061108123,0,1
1,-0.763040966247275,0,1
1,-1.5074685427982,0,1
1,-1.07479391336689,0,1
1,0.191692135916234,0,1
1,-4.7481851943919,0,1
1,-0.838657929868851,0,1
1,-1.60142001880086,0,1
1,-0.0451596902601953,0,1
1,1.17607312719352,0,1
1,1.08686576375925,0,1
