"","F1"
"1",-2.30239408785046
"2",-2.17800965911976
"3",-2.05753146561634
"4",-1.26117548320912
"5",-1.40128336144456
"6",-1.65173252118788
"7",-1.10563306836225
"8",-2.30239408785046
"9",-1.94066038606922
"10",-1.28094887040562
"11",0.560521412707737
"12",-1.0484262492066
"13",0.795584796249873
"14",0.296682089118559
"15",0.419066246637899
"16",1.33830985360056
"17",0.349001433004724
"18",1.33830985360056
"19",-0.751907897010106
"20",-2.70236601360947
"21",2.60611943855353
"22",2.74283117668464
"23",2.77845143208022
"24",3.67530656857
"25",2.77845143208022
"26",-2.35331309901597
"27",3.92249619090061
"28",-1.54567058990332
"29",2.77845143208022
"30",1.09791863271949
"31",-0.222154055466752
"32",0.614123024719539
"33",3.45829646562995
"34",3.21886718538313
"35",2.81469891278937
"36",-1.28094887040562
"37",-0.898502770037093
"38",-1.54567058990331
"39",-0.378719241755381
"40",-2.20256407444259
"41",-1.71664502526799
"42",-1.40128336144456
"43",-1.24147884903776
