"","F1"
"1",-1.65529252487379
"2",-1.56457993196212
"3",-1.02447723175778
"4",-0.602798318834919
"5",-0.843100957435153
"6",-1.0086230598942
"7",-0.765875852142349
"8",-1.6997486812481
"9",-1.91779953742318
"10",-0.795485809680331
"11",-0.779339052663753
"12",-0.963776332165098
"13",0.355390468233272
"14",0.0841918276876856
"15",-0.00419213489612921
"16",-0.576410336743385
"17",-0.454907107212804
"18",0.428434029017853
"19",-0.591278235458237
"20",-1.48012679565604
"21",1.31251232262116
"22",0.620590143965086
"23",1.32266157202042
"24",3.29131097543605
"25",0.180046791813435
"26",-1.23944929937348
"27",0.832558383895107
"28",-0.452573130154911
"29",1.64882856256193
"30",0.592859576068297
"31",0.525170463716847
"32",0.204398744843292
"33",2.15163927808904
"34",2.71668435833825
"35",2.30916084739102
"36",-0.968761548874826
"37",-0.536021652781354
"38",-0.415709254845653
"39",-0.209129286631316
"40",-1.41501140615229
"41",-0.824380680225495
"42",-1.1580020285303
"43",-0.800152617663089
